DATABASE_ID,MODEL_NAME,BASE_MODEL,PLATFORM,TRIGGER_TYPE,TRIGGER_GROUP_SPRINGS,GRADE,COMBO,GAUGE_1,GAUGE_2,BARREL_CONFIG,DISCIPLINE,RIB_TYPE,RIB_ADJUSTABLE_NOTCH,RIB_HEIGHT,RIB_STYLE_1,RIB_STYLE_2,RIB_STYLE_3
165_MX16_SCO_Sideplates,MX16 SCO Sideplates,MX16 ,MX,Fixed,Coil Springs,SCO Sideplates,,16 GA,,Over / Under,Game,Fixed,,,,,
166_MX20,MX20,MX20,MX,Fixed,Coil Springs,Standard,,20 GA,,Over / Under,"Sporting, Game",Fixed,,,,,
167_MX20_SC2,MX20 SC2,MX20 ,MX,Fixed,Coil Springs,SC2,,20 GA,,Over / Under,"Sporting, Game",Fixed,,,,,
168_MX20_SC3,MX20 SC3,MX20 ,MX,Fixed,Coil Springs,SC3,,20 GA,,Over / Under,"Sporting, Game",Fixed,,,,,
169_MX20_SC3_Gold,MX20 SC3 Gold,MX20 ,MX,Fixed,Coil Springs,SC3 Gold,,20 GA,,Over / Under,"Sporting, Game",Fixed,,,,,
170_MX20_SC3_Gold_Sideplates,MX20 SC3 Gold Sideplates,MX20 ,MX,Fixed,Coil Springs,SC3 Gold Sideplates,,20 GA,,Over / Under,"Sporting, Game",Fixed,,,,,
171_MX20_SC3_Sideplates,MX20 SC3 Sideplates,MX20 ,MX,Fixed,Coil Springs,SC3 Sideplates,,20 GA,,Over / Under,"Sporting, Game",Fixed,,,,,
172_MX20_SCO,MX20 SCO,MX20 ,MX,Fixed,Coil Springs,SCO,,20 GA,,Over / Under,"Sporting, Game",Fixed,,,,,
173_MX20_SCO_Gold,MX20 SCO Gold,MX20 ,MX,Fixed,Coil Springs,SCO Gold,,20 GA,,Over / Under,"Sporting, Game",Fixed,,,,,
174_MX20_SCO_Gold_Sideplates,MX20 SCO Gold Sideplates,MX20 ,MX,Fixed,Coil Springs,SCO Gold Sideplates,,20 GA,,Over / Under,"Sporting, Game",Fixed,,,,,
175_MX20_SCO_Sideplates,MX20 SCO Sideplates,MX20 ,MX,Fixed,Coil Springs,SCO Sideplates,,20 GA,,Over / Under,"Sporting, Game",Fixed,,,,,
176_MX2000/10,MX2000/10,MX10,MX,Removable,Flat Springs or Coil Springs,2000,Yes,12 GA,,Top Single,Trap,Adjustable,4,17mm,Notch,,
177_MX2000/3,MX2000/3,MX2000/3,MX,Removable,Flat Springs or Coil Springs,2000,,12 GA,20 GA,Over / Under,All Disciplines,Adjustable,3,8mm,Notch,,
178_MX2000/8,MX2000/8,MX8,MX,Removable,Flat Springs or Coil Springs,2000,,12 GA,,Top Single,Trap,Fixed,,4mm,Ramp,,
179_MX2000/8,MX2000/8,MX8,MX,Removable,Flat Springs or Coil Springs,2000,Yes,12 GA,,Top Single,Trap,Fixed,,4mm,Ramp,,
180_MX2000/8,MX2000/8,MX8,MX,Removable,Flat Springs or Coil Springs,2000,Yes,12 GA,,Over / Under,"Skeet, Sporting",Fixed,,4mm,Ramp,,
181_MX2000/8,MX2000/8,MX8,MX,Removable,Flat Springs or Coil Springs,2000,,12 GA,20 GA,Over / Under,All Disciplines,Fixed,,4mm,Ramp,,
182_MX2000/RS,MX2000/RS,MX10RS,MX,Removable,Flat Springs or Coil Springs,2000,Yes,12 GA,,Unsingle,Trap,Adjustable,4,10mm,Notch,,
183_MX2000S,MX2000S,MX12,MX,Fixed,Coil Springs,2000,Yes,12 GA,,Top Single,Trap,Fixed,,,Flat,Step,Ramp
184_MX2000S,MX2000S,MX12,MX,Fixed,Coil Springs,2000,Yes,12 GA,,Over / Under,"Skeet, Sporting",Fixed,,,Flat,Step,Ramp
185_MX2000S,MX2000S,MX12,MX,Fixed,Coil Springs,2000,,12 GA,20 GA,Over / Under,All Disciplines,Fixed,,,Flat,Step,Ramp
186_MX2000S/3,MX2000S/3,MX12/3,MX,Fixed,Coil Springs,2000,,12 GA,20 GA,Over / Under,All Disciplines,Adjustable,3,8mm,Notch,,
